Question,Solution,,,,,,,,
2.1 (a) What is the volume of a cube off side 1 cm? (b) What is the surface area of a cylinder of radius 2.0 cm and height 10.0 cm? (c) What is the distance traveled for a vehicle moving at 18 km/h in 1 second?,"(a) Volume of cube, V = (1 cm)^3 = (10^{-2} m)^3 = 10^{-6} m^3
(b) Surface area = curved area + area on top /base = 2πrh + 2πr^2 = 2πr (h + r)
r = 2 cm = 20 mm
h = 10 cm = 100 mm
Surface area = 2πr (h + r) = 2 x 3.14 x 20 (100 + 20) = 15072  mm^2
Hence, the answer is 15072 mm^2
(c) Speed of vehicle = 18 km/h
1 km = 1000 m
1 hr = 60 x 60 = 3600 s
1 km/hr = 1000 m/3600 s = 5/18 m/s
18 km/h = = (18 x 1000)/3600
= 5 m/s
Distance travelled by the vehicle in 1 s = 5 m",,,,,,,,
"2.3 A calorie is a unit of heat (energy in transit), which equals about 4.2 J, where 1J =1 kg m^2 s^–2. Suppose we employ a system of units in which the unit of mass equals α kg, the unit of length equals β m, and the unit of time is γ s. Show that a calorie has a magnitude of 4.2 α^(–1) β^(–2) γ^2 in terms of the new units.
","1 calorie = 4.2 J = 4.2 kg m^2 s^–2
The standard formula for the conversion is
Dimensional formula for energy = \(\begin{array}{l}\left [ M^{1}L^{2}T^{-2} \right ]\end{array} \)

Here, x = 1, y = 2 and z =- 2
M1 = 1 kg, L1 = 1m, T1 = 1s
and M2 = α kg, L2 = β m, T2 = γ s
Calorie = 4.2α^(–1) β^(–2) γ^2",,,,,,,,
"2.4 Explain this statement clearly:
“To call a dimensional quantity ‘large’ or ‘small’ is meaningless without specifying a standard for comparison”. In view of this, reframe the following statements wherever necessary.
(a) atoms are very small objects
(b) a jet plane moves with great speed
(c) the mass of Jupiter is very large
(d) the air inside this room contains a large number of molecules
(e) a proton is much more massive than an electron
(f) the speed of sound is much smaller than the speed of light.
","(a) In comparison with a soccer ball, atoms are very small
(b) When compared with a bicycle, a jet plane travels at high speed.
(c) When compared with the mass of a cricket ball, the mass of Jupiter is very large.
(d) As compared with the air inside a lunch box, the air inside the room has a large number of molecules.
(e) A proton is massive when compared with an electron.
(f) Like comparing the speed of a bicycle and a jet plane, the speed of light is more than the speed of sound.",,,,,,,,
2.5 A new unit of length is chosen such that the speed of light in a vacuum is unity. What is the distance between the Sun and the Earth in terms of the new unit if light takes 8 min and 20 s to cover this distance?,"Distance between them = Speed of light x Time taken by light to cover the distance
Speed of light = 1 unit
Time taken = 8 x 60 + 20 = 480 + 20 = 500s
The distance between Sun and Earth = 1 x 500 = 500 units",,,,,,,,
"2.6 Which of the following is the most precise device for measuring length?(a) a vernier callipers with 20 divisions on the sliding scale(b) a screw gauge of pitch 1 mm and 100 divisions on the circular scale(c) an optical instrument that can measure length to within a wavelength of light
","(a) Least count = 1- \(\begin{array}{l}\frac{9}{10}\end{array} \)= \(\begin{array}{l}\frac{1}{10}\end{array} \) = 0.01cm
(b) Least count = \(\begin{array}{l}\frac{pitch}{number of divisions}\end{array} \)
= \(\begin{array}{l}\frac{1}{10000}\end{array} \) = 0.001 cm
(c) least count = wavelength of light = 10^(-5) cm
= 0.00001 cm
We can come to the conclusion that the optical instrument is the most precise device used to measure length.",,,,,,,,
2.7. A student measures the thickness of a human hair by looking at it through amicroscope of magnification 100. He makes 20 observations and finds that the average width of the hair in the field of view of the microscope is 3.5 mm. What is the estimate on the thickness of the hair?,"The average width of the hair in the field of view of the microscope = 3.5 mm
Actual thickness of hair =3.5 mm/100 = 0.035 mm",,,,,,,,
"2.8. Answer the following :
(a) You are given a thread and a metre scale. How will you estimate the diameter of
the thread?
(b) A screw gauge has a pitch of 1.0 mm and 200 divisions on the circular scale. Do
you think it is possible to arbitrarily increase the accuracy of the screw gauge by
increasing the number of divisions on the circular scale?
(c) The mean diameter of a thin brass rod is to be measured by vernier callipers. Why
is a set of 100 measurements of the diameter expected to yield a more reliable
estimate than a set of 5 measurements only?","(a) The thread should be wrapped around a pencil a number of times to form a coil having its turns touching each other closely. Measure the length of this coil with a metre scale. If L be the length of the coil and n be the number of turns of the coil, then the diameter of the thread is given by the relation
Diameter = L/n.
(b) Least count of the screw gauge = Pitch/number of divisions on the circular scale
So, theoretically, when the number of divisions on the circular scale is increased, the least count of the screw gauge will decrease. Hence, the accuracy of the screw gauge will increase. However, this is only a theoretical idea. Practically, there will be many other difficulties when the number of turns is increased.
(c)  The probability of making random errors can be reduced to a larger extent in 100 observations than in the case of 5 observations.",,,,,,,,
"2.9 . The photograph of a house occupies an area of 1.75 cm2 on a 35 mm slide. The slide is projected onto a screen, and the area of the house on the screen is 1.55 m2. What is the linear magnification of the projector-screen arrangement?","Arial Magnification = Area of the image/Area of the object
= 1.55/1.75 x 10^4
= 8.857x 10^3
Linear Magnification = √Arial magnification
= √(8.857x 10^3) 
= 94. 1",,,,,,,,
2.10 State the number of significant figures in the following:(a) 0.007 m^2(b) 2.64 × 10^24 kg(c) 0.2370 g cm^–3(d) 6.320 J(e) 6.032 N m^–2(f) 0.0006032 m^2,"(a) 0.007 m2
The given value is 0.007 m2.
Only one significant digit. It is 7.
(b) 2.64 × 10^24 kg
The value is 2.64 × 10^24 kg
For the determination of significant values, the power of 10 is irrelevant. The digits 2, 6, and 4 are significant figures. The number of significant digits is 3.
(c) 0.2370 g cm^–3
The value is 0.2370 g cm–3
For the given value with decimals, all the numbers 2, 3, 7, and 0 are significant. The 0 before the decimal point is not significant
(d) All the numbers are significant. The number of significant figures here is 4.
(e) 6, 0, 3, and 2 are significant figures. Therefore, the number of significant figures is 4.
(f) 6, 0, 3, and 2 are significant figures. The number of significant figures is 4.",,,,,,,,
"2. 11. The length, breadth and thickness of a rectangular sheet of metal are 4.234 m, 1.005 m, and 2.01 cm, respectively. Give the area and volume of the sheet to correct significant figures.","Area of the rectangular sheet = length x breadth
= 4.234 x 1.005 = 4.255 m^2= 4.3 m^2
The volume of the rectangular sheet = length x breadth x thickness = 4.234 x 1.005  x  2.01 x 10^-2 = 8.55 x 10^(-2) m^3.",,,,,,,,
